src_ip,src_port,dest_ip,dest_port,dest_src_pkts,dest_src_bytes,src_dest_pkts,src_dest_bytes,total_pkts,total_bytes,relative_time,total_time
10.0.1.1,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.000000000,100.4333
10.0.3.3,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.001313849,100.4431
10.0.2.2,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.021291473,100.5147
10.0.3.3,50014,10.0.4.4,50014,0,0,356,498400,356,498400,89.216699794,0.1014
10.0.1.1,50001,10.0.4.4,50001,0,0,351,491400,351,491400,1.006895963,0.1013
10.0.2.2,50015,10.0.4.4,50015,0,0,348,487200,348,487200,47.213712819,0.1016
10.0.2.2,50010,10.0.4.4,50010,0,0,338,473200,338,473200,48.196747498,0.1029
10.0.3.3,50013,10.0.4.4,50013,0,0,337,471800,337,471800,29.102856882,0.1012
10.0.3.3,50015,10.0.4.4,50015,0,0,337,471800,337,471800,49.156200901,0.1080
10.0.1.1,50006,10.0.4.4,50006,0,0,330,462000,330,462000,15.066001931,0.1016
10.0.1.1,50005,10.0.4.4,50005,0,0,329,460600,329,460600,3.026718413,0.1011
10.0.1.1,50010,10.0.4.4,50010,0,0,314,439600,314,439600,70.189413526,0.1013
10.0.2.2,50002,10.0.4.4,50002,0,0,314,439600,314,439600,81.218830516,0.1014
10.0.1.1,50008,10.0.4.4,50008,0,0,311,435400,311,435400,9.057953956,0.1023
10.0.1.1,50013,10.0.4.4,50013,0,0,310,434000,310,434000,10.057103311,0.1011
10.0.2.2,50009,10.0.4.4,50009,0,0,301,421400,301,421400,48.196463406,0.1032
10.0.3.3,50003,10.0.4.4,50003,0,0,296,414400,296,414400,44.222243031,0.1014
10.0.2.2,50007,10.0.4.4,50007,0,0,291,407400,291,407400,6.066001881,0.1012
10.0.3.3,50002,10.0.4.4,50002,0,0,290,406000,290,406000,76.119104824,0.1018
10.0.2.2,50004,10.0.4.4,50004,0,0,289,404600,289,404600,11.077334887,0.1016
10.0.1.1,50014,10.0.4.4,50014,0,0,280,392000,280,392000,49.160881324,0.1049
10.0.2.2,50014,10.0.4.4,50014,0,0,269,376600,269,376600,93.289658662,0.1084
10.0.3.3,50011,10.0.4.4,50011,0,0,268,375200,268,375200,35.125104744,0.1040
10.0.2.2,50001,10.0.4.4,50001,0,0,267,373800,267,373800,97.258531709,0.1008
10.0.2.2,50011,10.0.4.4,50011,0,0,266,372400,266,372400,21.097661669,0.1015
10.0.2.2,50003,10.0.4.4,50003,0,0,265,371000,265,371000,70.160728652,0.1010
10.0.3.3,50009,10.0.4.4,50009,0,0,259,362600,259,362600,60.179362126,0.1024
10.0.3.3,50006,10.0.4.4,50006,0,0,256,358400,256,358400,41.148070280,0.1011
10.0.3.3,50010,10.0.4.4,50010,0,0,253,354200,253,354200,35.165847407,0.1028
10.0.1.1,50009,10.0.4.4,50009,0,0,250,350000,250,350000,82.235016103,0.1009
10.0.3.3,50008,10.0.4.4,50008,0,0,245,343000,245,343000,86.219751933,0.1008
10.0.2.2,50008,10.0.4.4,50008,0,0,241,337400,241,337400,3.077381699,0.1009
10.0.3.3,50012,10.0.4.4,50012,0,0,241,337400,241,337400,13.062429226,0.1014
10.0.1.1,50004,10.0.4.4,50004,0,0,231,323400,231,323400,31.108849964,0.1007
10.0.1.1,50003,10.0.4.4,50003,0,0,230,322000,230,322000,17.091753504,0.1009
10.0.1.1,50011,10.0.4.4,50011,0,0,230,322000,230,322000,49.148716049,0.1109
10.0.1.1,50012,10.0.4.4,50012,0,0,228,319200,228,319200,27.071187715,0.1008
10.0.2.2,50006,10.0.4.4,50006,0,0,222,310800,222,310800,27.111112851,0.1017
10.0.1.1,50007,10.0.4.4,50007,0,0,214,299600,214,299600,86.235878002,0.1010
10.0.2.2,50005,10.0.4.4,50005,0,0,210,294000,210,294000,23.089649762,0.1012
10.0.3.3,50007,10.0.4.4,50007,0,0,208,291200,208,291200,18.076561700,0.1018
10.0.2.2,50012,10.0.4.4,50012,0,0,207,289800,207,289800,8.069992663,0.1003
10.0.3.3,50001,10.0.4.4,50001,0,0,191,267400,191,267400,32.112055966,0.1007
10.0.3.3,50004,10.0.4.4,50004,0,0,188,263200,188,263200,60.171453755,0.1020
10.0.2.2,50013,10.0.4.4,50013,0,0,187,261800,187,261800,37.148956821,0.1017
10.0.1.1,50002,10.0.4.4,50002,0,0,182,254800,182,254800,66.168680166,0.1005
10.0.3.3,50005,10.0.4.4,50005,0,0,179,250600,179,250600,34.102928951,0.0998
10.0.1.1,50015,10.0.4.4,50015,0,0,179,250600,179,250600,71.169838181,0.1011

