src_ip,src_port,dest_ip,dest_port,dest_src_pkts,dest_src_bytes,src_dest_pkts,src_dest_bytes,total_pkts,total_bytes,relative_time,total_time
10.0.3.3,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.000000000,100.4754
10.0.2.2,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.008913744,100.4776
10.0.1.1,50000,10.0.4.4,50000,0,0,8926,12496400,8926,12496400,0.021373083,100.5101
10.0.3.3,50014,10.0.4.4,50014,0,0,356,498400,356,498400,89.240074707,0.1028
10.0.1.1,50001,10.0.4.4,50001,0,0,351,491400,351,491400,1.030186533,0.1037
10.0.2.2,50015,10.0.4.4,50015,0,0,348,487200,348,487200,47.186025205,0.1013
10.0.3.3,50013,10.0.4.4,50013,0,0,337,471800,337,471800,29.100684476,0.1012
10.0.3.3,50015,10.0.4.4,50015,0,0,337,471800,337,471800,49.154325837,0.1420
10.0.2.2,50010,10.0.4.4,50010,0,0,332,464800,332,464800,48.168779427,0.1036
10.0.1.1,50006,10.0.4.4,50006,0,0,330,462000,330,462000,15.098411301,0.1012
10.0.1.1,50005,10.0.4.4,50005,0,0,329,460600,329,460600,3.055798783,0.1012
10.0.1.1,50010,10.0.4.4,50010,0,0,314,439600,314,439600,70.267328185,0.1021
10.0.2.2,50002,10.0.4.4,50002,0,0,314,439600,314,439600,81.212795210,0.1028
10.0.1.1,50008,10.0.4.4,50008,0,0,311,435400,311,435400,9.088272882,0.1028
10.0.1.1,50013,10.0.4.4,50013,0,0,310,434000,310,434000,10.087978934,0.1028
10.0.3.3,50003,10.0.4.4,50003,0,0,296,414400,296,414400,44.219543087,0.1021
10.0.2.2,50009,10.0.4.4,50009,0,0,292,408800,292,408800,48.168761046,0.1035
10.0.2.2,50007,10.0.4.4,50007,0,0,291,407400,291,407400,6.053086492,0.1019
10.0.3.3,50002,10.0.4.4,50002,0,0,290,406000,290,406000,76.130903620,0.1028
10.0.2.2,50004,10.0.4.4,50004,0,0,289,404600,289,404600,11.066625748,0.1021
10.0.2.2,50014,10.0.4.4,50014,0,0,269,376600,269,376600,93.251208458,0.1014
10.0.3.3,50011,10.0.4.4,50011,0,0,268,375200,268,375200,35.123061075,0.1016
10.0.2.2,50001,10.0.4.4,50001,0,0,267,373800,267,373800,97.208419408,0.1009
10.0.2.2,50011,10.0.4.4,50011,0,0,266,372400,266,372400,21.086933832,0.1021
10.0.2.2,50003,10.0.4.4,50003,0,0,265,371000,265,371000,70.147281396,0.1019
10.0.1.1,50014,10.0.4.4,50014,0,0,261,365400,261,365400,49.201858553,0.1257
10.0.3.3,50009,10.0.4.4,50009,0,0,259,362600,259,362600,60.181020142,0.1041
10.0.3.3,50006,10.0.4.4,50006,0,0,256,358400,256,358400,41.144800015,0.1007
10.0.3.3,50010,10.0.4.4,50010,0,0,253,354200,253,354200,35.163445377,0.1016
10.0.1.1,50009,10.0.4.4,50009,0,0,250,350000,250,350000,82.318582355,0.1017
10.0.3.3,50008,10.0.4.4,50008,0,0,245,343000,245,343000,86.241057413,0.1012
10.0.2.2,50008,10.0.4.4,50008,0,0,241,337400,241,337400,3.064414086,0.1009
10.0.3.3,50012,10.0.4.4,50012,0,0,241,337400,241,337400,13.059423866,0.1008
10.0.1.1,50004,10.0.4.4,50004,0,0,231,323400,231,323400,31.147546777,0.1011
10.0.1.1,50003,10.0.4.4,50003,0,0,230,322000,230,322000,17.123492971,0.1009
10.0.1.1,50012,10.0.4.4,50012,0,0,228,319200,228,319200,27.107109875,0.1016
10.0.2.2,50006,10.0.4.4,50006,0,0,222,310800,222,310800,27.104263613,0.1013
10.0.1.1,50007,10.0.4.4,50007,0,0,214,299600,214,299600,86.323277356,0.1012
10.0.2.2,50005,10.0.4.4,50005,0,0,210,294000,210,294000,23.079594402,0.1011
10.0.1.1,50011,10.0.4.4,50011,0,0,210,294000,210,294000,49.189452435,0.1330
10.0.3.3,50007,10.0.4.4,50007,0,0,208,291200,208,291200,18.072665902,0.1007
10.0.2.2,50012,10.0.4.4,50012,0,0,207,289800,207,289800,8.058249757,0.1010
10.0.3.3,50001,10.0.4.4,50001,0,0,191,267400,191,267400,32.109338318,0.1003
10.0.3.3,50004,10.0.4.4,50004,0,0,188,263200,188,263200,60.173134298,0.1037
10.0.2.2,50013,10.0.4.4,50013,0,0,187,261800,187,261800,37.140734972,0.1007
10.0.1.1,50002,10.0.4.4,50002,0,0,182,254800,182,254800,66.244279331,0.0999
10.0.3.3,50005,10.0.4.4,50005,0,0,179,250600,179,250600,34.100152536,0.1007
10.0.1.1,50015,10.0.4.4,50015,0,0,179,250600,179,250600,71.248425352,0.1005

