flow,throughput,anomalous_identification_timestamp
"('10.0.1.1', 50001, '10.0.4.4', 50001, 17)",33094746.08926557,"[(4301569, 4401742)]"
"('10.0.2.2', 50008, '10.0.4.4', 50008, 17)",26753018.30974654,"[(6327687, 6427743)]"
"('10.0.1.1', 50005, '10.0.4.4', 50005, 17)",35335463.25878594,"[(6348537, 6448697)]"
"('10.0.2.2', 50007, '10.0.4.4', 50007, 17)",32123119.972018186,"[(9316509, 9416574)]"
"('10.0.2.2', 50012, '10.0.4.4', 50012, 17)",22939354.58087721,"[(11321261, 11421351)]"
"('10.0.1.1', 50008, '10.0.4.4', 50008, 17)",34439863.02327207,"[(12383149, 12483312)]"
"('10.0.1.1', 50013, '10.0.4.4', 50013, 17)",33315698.585560136,"[(13381468, 13481649)]"
"('10.0.2.2', 50004, '10.0.4.4', 50004, 17)",31623581.997226354,"[(14329701, 14429930)]"
"('10.0.3.3', 50012, '10.0.4.4', 50012, 17)",26895713.34622053,"[(16341979, 16442337)]"
"('10.0.1.1', 50006, '10.0.4.4', 50006, 17)",36307600.23937762,"[(18396277, 18496537)]"
"('10.0.1.1', 50003, '10.0.4.4', 50003, 17)",25529107.14107191,"[(20422145, 20522172)]"
"('10.0.3.3', 50007, '10.0.4.4', 50007, 17)",23140033.935522508,"[(21355326, 21455516)]"
"('10.0.2.2', 50011, '10.0.4.4', 50011, 17)",29491322.561340515,"[(24350496, 24450756)]"
"('10.0.2.2', 50005, '10.0.4.4', 50005, 17)",23233733.593968168,"[(26342582, 26442850)]"
"('10.0.2.2', 50006, '10.0.4.4', 50006, 17)",24658544.117793564,"[(30364290, 30464669)]"
"('10.0.1.1', 50012, '10.0.4.4', 50012, 17)",25295305.0986349,"[(30402703, 30502769)]"
"('10.0.3.3', 50013, '10.0.4.4', 50013, 17)",37338550.2964486,"[(32379714, 32479900)]"
"('10.0.1.1', 50004, '10.0.4.4', 50004, 17)",25613421.880461376,"[(34441405, 34541540)]"
"('10.0.3.3', 50001, '10.0.4.4', 50001, 17)",21340569.228160135,"[(35388839, 35489080)]"
"('10.0.3.3', 50005, '10.0.4.4', 50005, 17)",19891641.639144707,"[(37379952, 37480175)]"
"('10.0.3.3', 50011, '10.0.4.4', 50011, 17)",29574714.01809558,"[(38402903, 38503259)]"
"('10.0.3.3', 50010, '10.0.4.4', 50010, 17)",27918756.41882123,"[(38443373, 38543664)]"
"('10.0.2.2', 50013, '10.0.4.4', 50013, 17)",20846976.8599154,"[(40400648, 40501123)]"
"('10.0.3.3', 50006, '10.0.4.4', 50006, 17)",28413903.316020776,"[(44423862, 44523982)]"
"('10.0.3.3', 50003, '10.0.4.4', 50003, 17)",32756056.416757338,"[(47497897, 47598080)]"
"('10.0.2.2', 50015, '10.0.4.4', 50015, 17)",38506436.39561845,"[(50444773, 50544829)]"
"('10.0.2.2', 50009, '10.0.4.4', 50009, 17)",33019527.89270652,"[(51427066, 51527128)]"
"('10.0.2.2', 50010, '10.0.4.4', 50010, 17)",37053102.91751207,"[(51427092, 51527143)]"
"('10.0.3.3', 50015, '10.0.4.4', 50015, 17)",35857817.54909272,"[(52430799, 52531374)]"
"('10.0.1.1', 50011, '10.0.4.4', 50011, 17)",23346132.74821722,"[(52482632, 52582897)]"
"('10.0.1.1', 50014, '10.0.4.4', 50014, 17)",28401138.122098535,"[(52494865, 52595030)]"
"('10.0.3.3', 50004, '10.0.4.4', 50004, 17)",20870241.025078963,"[(63448113, 63548476)]"
"('10.0.3.3', 50009, '10.0.4.4', 50009, 17)",28525769.07710747,"[(63455557, 63555677)]"
"('10.0.1.1', 50002, '10.0.4.4', 50002, 17)",20164523.091920067,"[(69503752, 69604285)]"
"('10.0.2.2', 50003, '10.0.4.4', 50003, 17)",29448637.840539865,"[(73398343, 73498368)]"
"('10.0.1.1', 50010, '10.0.4.4', 50010, 17)",34282865.54663742,"[(73527159, 73627454)]"
"('10.0.1.1', 50015, '10.0.4.4', 50015, 17)",19830698.98837175,"[(74508739, 74609270)]"
"('10.0.3.3', 50002, '10.0.4.4', 50002, 17)",31535750.30203788,"[(79399012, 79499165)]"
"('10.0.2.2', 50002, '10.0.4.4', 50002, 17)",34578953.67890971,"[(84457626, 84557710)]"
"('10.0.1.1', 50009, '10.0.4.4', 50009, 17)",27480276.478391398,"[(85576432, 85676693)]"
"('10.0.3.3', 50008, '10.0.4.4', 50008, 17)",26604387.48827275,"[(89504391, 89604585)]"
"('10.0.1.1', 50007, '10.0.4.4', 50007, 17)",23705596.93296859,"[(89579675, 89679837)]"
"('10.0.3.3', 50014, '10.0.4.4', 50014, 17)",38825562.692934,"[(92504800, 92604899)]"
"('10.0.2.2', 50014, '10.0.4.4', 50014, 17)",29870246.621317912,"[(96486566, 96586679)]"
"('10.0.2.2', 50001, '10.0.4.4', 50001, 17)",29725711.662991527,"[(100439746, 100539969)]"
