sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,jitter
LINT,2,1.0,60.0,55,0.14572045301320286,3430,"{'h3': 1.292890761757965, 'h1': 1.0842679735411374, 'h4': 1.2993174982160722}"
sINT,2,1.0,60.0,64,0.1806784708306837,2852,"{'h1': 0.6717432705067106, 'h4': 1.2060942622901356, 'h3': 0.6935447498369878}"
static,2,1.0,60.0,55,0.18803576242696002,3455,"{'h4': 1.284166244463732, 'h3': 0.7165192925329233, 'h1': 0.6707024909070166}"
DINT,2,1.0,60.0,48,0.16058803481105724,2855,"{'h3': 0.9103090475696819, 'h1': 0.7233714746496264, 'h4': 1.0315925163513298}"
LINT,2,1.0,60.0,55,0.1341514778855841,3505,"{'h3': 1.3160788482387193, 'h1': 1.0214727764263556, 'h4': 1.3289698548685136}"
sINT,2,1.0,60.0,64,0.14722544922915273,2852,"{'h1': 0.4241760061640917, 'h4': 0.4861298702979941, 'h3': 0.5313751446684307}"
static,2,1.0,60.0,55,0.18005944969771318,3451,"{'h4': 1.2592629524274062, 'h3': 0.774258960147119, 'h1': 0.70835032697427}"
DINT,2,1.0,60.0,47,0.1687426022560624,2809,"{'h3': 1.1125304443872048, 'h1': 0.8757293762390688, 'h4': 1.6045211174169278}"
LINT,2,1.0,60.0,55,0.15337494193486736,3430,"{'h3': 1.2958725047540145, 'h1': 1.1762680715639349, 'h4': 1.7688229483624187}"
sINT,2,1.0,60.0,64,0.18352646064571992,2852,"{'h1': 0.8133173347595583, 'h4': 1.2084598146140464, 'h3': 0.7887315230140495}"
static,2,1.0,60.0,55,0.18538163557150328,3455,"{'h4': 1.2531653186920224, 'h3': 0.6993055132824588, 'h1': 0.7560205913953102}"
DINT,2,1.0,60.0,47,0.15660314626344177,2830,"{'h3': 0.9724143118483107, 'h1': 0.8548199233702695, 'h4': 1.0027241123149175}"
LINT,2,1.0,60.0,55,0.1462236770573822,3438,"{'h3': 1.3577657711389948, 'h1': 1.0155205023563734, 'h4': 1.3502854187385285}"
sINT,2,1.0,60.0,64,0.18605750981360075,2852,"{'h1': 0.6615622352095042, 'h4': 0.93106967581194, 'h3': 0.8348343543095676}"
static,2,1.0,60.0,55,0.18277271189323813,3480,"{'h4': 1.4211621886143802, 'h3': 0.7991981197169422, 'h1': 0.8253546033723423}"
DINT,2,1.0,60.0,46,0.18019611403847596,2780,"{'h3': 1.100252906446291, 'h1': 0.9611704524087092, 'h4': 1.9296519949386797}"
LINT,2,1.0,60.0,55,0.1477731443700651,3455,"{'h3': 1.213754063119166, 'h1': 1.1447571225486761, 'h4': 1.6607425531649544}"
sINT,2,1.0,60.0,64,0.18366723358516512,2852,"{'h1': 0.8193867854632012, 'h4': 1.3624440927738972, 'h3': 0.7118027083050913}"
static,2,1.0,60.0,55,0.1899826893542119,3480,"{'h4': 1.0529922675727226, 'h3': 0.6768262881709873, 'h1': 0.6990876336513814}"
DINT,2,2.0,60.0,28,0.2734548565261955,1613,"{'h3': 1.1842765886805382, 'h1': 0.8355511825087077, 'h4': 1.0893998172997081}"
LINT,2,2.0,60.0,28,0.2740464795572759,1742,"{'h3': 1.3300721848429111, 'h1': 0.9910607170556468, 'h4': 1.4776377579137656}"
sINT,2,2.0,60.0,64,0.1939185979195261,2852,"{'h1': 0.7016682098717724, 'h4': 1.2269902364008844, 'h3': 0.8077026994538243}"
static,2,2.0,60.0,28,0.2778969516236635,1713,"{'h4': 1.0639334802573683, 'h3': 0.7099708975362736, 'h1': 0.654499353831606}"
DINT,2,2.0,60.0,27,0.24912948931694187,1567,"{'h3': 0.82282341232772, 'h1': 0.5958261437258247, 'h4': 0.8994325181634187}"
LINT,2,2.0,60.0,28,0.2680297701717045,1717,"{'h3': 1.1584226128769035, 'h1': 0.726806125047812, 'h4': 0.8867808429983824}"
sINT,2,2.0,60.0,64,0.18634524230650468,2852,"{'h1': 0.589066725915509, 'h4': 0.7675437154967457, 'h3': 0.5214997108025499}"
static,2,2.0,60.0,28,0.28616065799784823,1717,"{'h4': 0.7693960617266582, 'h3': 0.46431860177523265, 'h1': 0.45216167224206805}"
