sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count
sINT,1,1.0,60.0,42,0.10173803107147424,1520
static,1,1.0,60.0,61,0.046254614815926874,2242
dynamicV2,1,1.0,60.0,27,0.07480315719982504,950
dynamicV1,1,1.0,60.0,24,0.10667971254360752,581
sINT,1,1.0,60.0,43,0.0820056616024812,1558
static,1,1.0,60.0,61,0.048854886860629214,2242
dynamicV2,1,1.0,60.0,24,0.06517822400882967,836
dynamicV1,1,1.0,60.0,28,0.11234829961406215,767
