frame.number,frame.time_epoch,frame.time_relative,frame.len
1,1662953291.924511595,0.000000000,1442
2,1662953291.936041993,0.011530398,1442
3,1662953291.949331596,0.024820001,1442
4,1662953291.958217981,0.033706386,1442
5,1662953291.969761457,0.045249862,1442
6,1662953291.982212490,0.057700895,1442
7,1662953291.994181804,0.069670209,1442
8,1662953292.009268420,0.084756825,1442
9,1662953292.026528486,0.102016891,1442
10,1662953292.042138530,0.117626935,1442
11,1662953292.054026546,0.129514951,1442
12,1662953292.067056997,0.142545402,1442
13,1662953292.079407752,0.154896157,1442
14,1662953292.094389367,0.169877772,1442
15,1662953292.106478965,0.181967370,1442
16,1662953292.118612636,0.194101041,1442
17,1662953292.143155207,0.218643612,1442
18,1662953292.159100607,0.234589012,1442
19,1662953292.172190111,0.247678516,1442
20,1662953292.186591153,0.262079558,1442
21,1662953292.198782892,0.274271297,1442
22,1662953292.214431428,0.289919833,1442
23,1662953292.229536616,0.305025021,1442
24,1662953292.246854861,0.322343266,1442
25,1662953292.260902443,0.336390848,1442
26,1662953292.273713989,0.349202394,1442
27,1662953292.286724033,0.362212438,1442
28,1662953292.299137476,0.374625881,1442
29,1662953292.311252058,0.386740463,1442
30,1662953292.323260459,0.398748864,1442
31,1662953292.337884557,0.413372962,1442
32,1662953292.350366647,0.425855052,1442
33,1662953292.362574690,0.438063095,1442
34,1662953292.374483210,0.449971615,1442
35,1662953292.386617171,0.462105576,1442
36,1662953292.398659150,0.474147555,1442
37,1662953292.410642420,0.486130825,1442
38,1662953292.476837503,0.552325908,1442
39,1662953292.490330374,0.565818779,1442
40,1662953292.502673333,0.578161738,1442
41,1662953292.530627584,0.606115989,1442
42,1662953292.546670074,0.622158479,1442
43,1662953292.560167745,0.635656150,1442
44,1662953292.578280386,0.653768791,1442
45,1662953292.590788999,0.666277404,1442
46,1662953292.607043999,0.682532404,1442
47,1662953292.620489748,0.695978153,1442
48,1662953292.634294903,0.709783308,1442
49,1662953292.649501490,0.724989895,1442
50,1662953292.664443798,0.739932203,1442
51,1662953292.675195343,0.750683748,1442
52,1662953292.687252712,0.762741117,1442
53,1662953292.699365367,0.774853772,1442
54,1662953292.713810658,0.789299063,1442
55,1662953292.726175380,0.801663785,1442
56,1662953292.738253487,0.813741892,1442
57,1662953292.750799734,0.826288139,1442
58,1662953292.762927696,0.838416101,1442
59,1662953292.774816922,0.850305327,1442
60,1662953292.788237616,0.863726021,1442
61,1662953292.801838723,0.877327128,1442
62,1662953292.813890702,0.889379107,1442
63,1662953292.826183715,0.901672120,1442
64,1662953292.838247522,0.913735927,1442
65,1662953292.850962990,0.926451395,1442
66,1662953292.862928968,0.938417373,1442
67,1662953292.875011974,0.950500379,1442
68,1662953292.889434189,0.964922594,1442
69,1662953292.901327405,0.976815810,1442
70,1662953292.913981676,0.989470081,1442
71,1662953292.927097688,1.002586093,1442
72,1662953292.939257689,1.014746094,1442
73,1662953292.953978003,1.029466408,1442
74,1662953292.966340696,1.041829101,1442
75,1662953292.978889349,1.054377754,1442
76,1662953292.990968136,1.066456541,1442
77,1662953293.002999522,1.078487927,1442
78,1662953293.017552466,1.093040871,1442
79,1662953293.031050736,1.106539141,1442
80,1662953293.045709082,1.121197487,1442
81,1662953293.057923438,1.133411843,1442
82,1662953293.070541489,1.146029894,1442
83,1662953293.082974348,1.158462753,1442
84,1662953293.095514242,1.171002647,1442
85,1662953293.107898421,1.183386826,1442
86,1662953293.122762216,1.198250621,1442
87,1662953293.134952076,1.210440481,1442
88,1662953293.148000378,1.223488783,1442
89,1662953293.162206517,1.237694922,1442
90,1662953293.174521175,1.250009580,1442
91,1662953293.186850919,1.262339324,1442
92,1662953293.198820716,1.274309121,1442
93,1662953293.211160259,1.286648664,1442
94,1662953293.223049906,1.298538311,1442
95,1662953293.234993737,1.310482142,1442
96,1662953293.247067506,1.322555911,1442
97,1662953293.258893030,1.334381435,1442
98,1662953293.271006037,1.346494442,1442
99,1662953293.283061979,1.358550384,1442
100,1662953293.295149557,1.370637962,1442
101,1662953293.309854485,1.385342890,1442
102,1662953293.321899516,1.397387921,1442
103,1662953293.334921110,1.410409515,1442
104,1662953293.347134798,1.422623203,1442
105,1662953293.359686496,1.435174901,1442
106,1662953293.371947477,1.447435882,1442
107,1662953293.384530588,1.460018993,1442
108,1662953293.396687347,1.472175752,1442
109,1662953293.408783192,1.484271597,1442
110,1662953293.420810657,1.496299062,1442
111,1662953293.433215418,1.508703823,1442
112,1662953293.447724665,1.523213070,1442
113,1662953293.462725689,1.538214094,1442
114,1662953293.474915898,1.550404303,1442
115,1662953293.487624226,1.563112631,1442
116,1662953293.503572214,1.579060619,1442
117,1662953293.516098348,1.591586753,1442
118,1662953293.530852473,1.606340878,1442
119,1662953293.542764603,1.618253008,1442
120,1662953293.554898982,1.630387387,1442
121,1662953293.567213801,1.642702206,1442
122,1662953293.579151965,1.654640370,1442
123,1662953293.593933317,1.669421722,1442
124,1662953293.607838703,1.683327108,1442
125,1662953293.623744917,1.699233322,1442
126,1662953293.638919371,1.714407776,1442
127,1662953293.651984072,1.727472477,1442
128,1662953293.666763441,1.742251846,1442
129,1662953293.679667243,1.755155648,1442
130,1662953293.691115017,1.766603422,1442
131,1662953293.703752795,1.779241200,1442
132,1662953293.716099651,1.791588056,1442
133,1662953293.728111394,1.803599799,1442
134,1662953293.741755015,1.817243420,1442
135,1662953293.754765039,1.830253444,1442
136,1662953293.768912095,1.844400500,1442
137,1662953293.781227889,1.856716294,1442
138,1662953293.793303848,1.868792253,1442
139,1662953293.807823259,1.883311664,1442
140,1662953293.821614483,1.897102888,1442
141,1662953293.836169331,1.911657736,1442
142,1662953293.848394707,1.923883112,1442
143,1662953293.860390942,1.935879347,1442
144,1662953293.875791640,1.951280045,1442
145,1662953293.888694894,1.964183299,1442
146,1662953293.902041766,1.977530171,1442
147,1662953293.915699291,1.991187696,1442
148,1662953293.928389502,2.003877907,1442
149,1662953293.940375702,2.015864107,1442
150,1662953293.957517591,2.033005996,1442
151,1662953293.968173620,2.043662025,1442
152,1662953293.980387509,2.055875914,1442
153,1662953293.992618449,2.068106854,1442
154,1662953294.004665489,2.080153894,1442
155,1662953294.016825392,2.092313797,1442
156,1662953294.028884637,2.104373042,1442
157,1662953294.040925892,2.116414297,1442
158,1662953294.056866155,2.132354560,1442
159,1662953294.073085727,2.148574132,1442
160,1662953294.085357694,2.160846099,1442
161,1662953294.099764410,2.175252815,1442
162,1662953294.112560246,2.188048651,1442
163,1662953294.132362211,2.207850616,1442
164,1662953294.144989576,2.220477981,1442
165,1662953294.157752972,2.233241377,1442
166,1662953294.170465911,2.245954316,1442
167,1662953294.182609097,2.258097502,1442
168,1662953294.194743504,2.270231909,1442
169,1662953294.208342391,2.283830796,1442
170,1662953294.220386749,2.295875154,1442
171,1662953294.232447061,2.307935466,1442
172,1662953294.244639987,2.320128392,1442
173,1662953294.257174620,2.332663025,1442
174,1662953294.269348973,2.344837378,1442
175,1662953294.281480090,2.356968495,1442
176,1662953294.296828416,2.372316821,1442
177,1662953294.308905624,2.384394029,1442
178,1662953294.321312609,2.396801014,1442
179,1662953294.334645153,2.410133558,1442
180,1662953294.346970222,2.422458627,1442
181,1662953294.359325985,2.434814390,1442
182,1662953294.371812593,2.447300998,1442
183,1662953294.384039643,2.459528048,1442
184,1662953294.396430054,2.471918459,1442
185,1662953294.411706657,2.487195062,1442
186,1662953294.425874137,2.501362542,1442
187,1662953294.437811276,2.513299681,1442
188,1662953294.450097317,2.525585722,1442
189,1662953294.462698789,2.538187194,1442
190,1662953294.476851780,2.552340185,1442
191,1662953294.490294226,2.565782631,1442
192,1662953294.502395891,2.577884296,1442
193,1662953294.514372010,2.589860415,1442
194,1662953294.529076946,2.604565351,1442
195,1662953294.542511260,2.617999665,1442
196,1662953294.554419343,2.629907748,1442
197,1662953294.570019266,2.645507671,1442
198,1662953294.583580949,2.659069354,1442
199,1662953294.596633775,2.672122180,1442
200,1662953294.608867159,2.684355564,1442
201,1662953294.620956134,2.696444539,1442
202,1662953294.633012490,2.708500895,1442
203,1662953294.645439003,2.720927408,1442
204,1662953294.659418638,2.734907043,1442
205,1662953294.672130988,2.747619393,1442
206,1662953294.684309531,2.759797936,1442
207,1662953294.696731547,2.772219952,1442
208,1662953294.709176491,2.784664896,1442
209,1662953294.721131698,2.796620103,1442
210,1662953294.733830376,2.809318781,1442
211,1662953294.748304178,2.823792583,1442
212,1662953294.761326526,2.836814931,1442
213,1662953294.773382957,2.848871362,1442
214,1662953294.789357350,2.864845755,1442
215,1662953294.801549248,2.877037653,1442
216,1662953294.813783808,2.889272213,1442
217,1662953294.825953134,2.901441539,1442
218,1662953294.838314700,2.913803105,1442
219,1662953294.851059759,2.926548164,1442
220,1662953294.863327244,2.938815649,1442
221,1662953294.877072714,2.952561119,1442
222,1662953294.889927163,2.965415568,1442
223,1662953294.902442970,2.977931375,1442
224,1662953294.915087083,2.990575488,1442
225,1662953294.927641400,3.003129805,1442
226,1662953294.940840170,3.016328575,1442
227,1662953294.953164552,3.028652957,1442
228,1662953294.965417981,3.040906386,1442
229,1662953294.977682063,3.053170468,1442
230,1662953294.989814480,3.065302885,1442
231,1662953295.001956351,3.077444756,1442
232,1662953295.013882947,3.089371352,1442
233,1662953295.025682710,3.101171115,1442
234,1662953295.037938537,3.113426942,1442
235,1662953295.049787350,3.125275755,1442
236,1662953295.065694439,3.141182844,1442
237,1662953295.077591336,3.153079741,1442
238,1662953295.089596212,3.165084617,1442
239,1662953295.102214933,3.177703338,1442
240,1662953295.115319810,3.190808215,1442
241,1662953295.127477320,3.202965725,1442
242,1662953295.139909618,3.215398023,1442
243,1662953295.152256592,3.227744997,1442
244,1662953295.164172822,3.239661227,1442
245,1662953295.177894590,3.253382995,1442
246,1662953295.189720450,3.265208855,1442
247,1662953295.201905283,3.277393688,1442
248,1662953295.213990579,3.289478984,1442
249,1662953295.229685657,3.305174062,1442
250,1662953295.243477682,3.318966087,1442
251,1662953295.258451827,3.333940232,1442
252,1662953295.274406306,3.349894711,1442
253,1662953295.286623217,3.362111622,1442
254,1662953295.299441488,3.374929893,1442
255,1662953295.311935253,3.387423658,1442
256,1662953295.326600950,3.402089355,1442
257,1662953295.339071892,3.414560297,1442
258,1662953295.350932018,3.426420423,1442
259,1662953295.362901307,3.438389712,1442
260,1662953295.375570236,3.451058641,1442
261,1662953295.389043506,3.464531911,1442
262,1662953295.402873458,3.478361863,1442
263,1662953295.415824724,3.491313129,1442
264,1662953295.427765982,3.503254387,1442
265,1662953295.439647830,3.515136235,1442
266,1662953295.452014014,3.527502419,1442
267,1662953295.466976362,3.542464767,1442
268,1662953295.481179173,3.556667578,1442
269,1662953295.493534107,3.569022512,1442
270,1662953295.506231472,3.581719877,1442
271,1662953295.518673821,3.594162226,1442
272,1662953295.533267899,3.608756304,1442
273,1662953295.545549287,3.621037692,1442
274,1662953295.559871103,3.635359508,1442
275,1662953295.575126397,3.650614802,1442
276,1662953295.587473266,3.662961671,1442
277,1662953295.602554392,3.678042797,1442
278,1662953295.615015778,3.690504183,1442
279,1662953295.630276754,3.705765159,1442
280,1662953295.642888945,3.718377350,1442
281,1662953295.654796335,3.730284740,1442
282,1662953295.666827498,3.742315903,1442
283,1662953295.679573664,3.755062069,1442
284,1662953295.694938792,3.770427197,1442
285,1662953295.707242182,3.782730587,1442
286,1662953295.722993657,3.798482062,1442
287,1662953295.735095358,3.810583763,1442
288,1662953295.748024549,3.823512954,1442
289,1662953295.762967520,3.838455925,1442
290,1662953295.774980653,3.850469058,1442
291,1662953295.787273332,3.862761737,1442
292,1662953295.799282131,3.874770536,1442
293,1662953295.811053522,3.886541927,1442
294,1662953295.823121338,3.898609743,1442
295,1662953295.835092672,3.910581077,1442
296,1662953295.847189238,3.922677643,1442
297,1662953295.859547655,3.935036060,1442
298,1662953295.871634137,3.947122542,1442
