frame.number,frame.time_epoch,frame.time_relative,frame.len
1,1662953112.694862147,0.000000000,1442
2,1662953112.703489074,0.008626927,1442
3,1662953112.716404136,0.021541989,1442
4,1662953112.728408688,0.033546541,1442
5,1662953112.740400645,0.045538498,1442
6,1662953112.753280590,0.058418443,1442
7,1662953112.765264278,0.070402131,1442
8,1662953112.780449761,0.085587614,1442
9,1662953112.798065864,0.103203717,1442
10,1662953112.813842039,0.118979892,1442
11,1662953112.825370600,0.130508453,1442
12,1662953112.839078084,0.144215937,1442
13,1662953112.850700579,0.155838432,1442
14,1662953112.865694677,0.170832530,1442
15,1662953112.877680915,0.182818768,1442
16,1662953112.889696014,0.194833867,1442
17,1662953112.914539951,0.219677804,1442
18,1662953112.930431762,0.235569615,1442
19,1662953112.943481214,0.248619067,1442
20,1662953112.958525430,0.263663283,1442
21,1662953112.970039863,0.275177716,1442
22,1662953112.985958223,0.291096076,1442
23,1662953113.000767493,0.305905346,1442
24,1662953113.017944861,0.323082714,1442
25,1662953113.032264415,0.337402268,1442
26,1662953113.045084825,0.350222678,1442
27,1662953113.058090336,0.363228189,1442
28,1662953113.070574406,0.375712259,1442
29,1662953113.082733797,0.387871650,1442
30,1662953113.094732466,0.399870319,1442
31,1662953113.109295031,0.414432884,1442
32,1662953113.121737402,0.426875255,1442
33,1662953113.133882696,0.439020549,1442
34,1662953113.145887666,0.451025519,1442
35,1662953113.158524802,0.463662655,1442
36,1662953113.170264315,0.475402168,1442
37,1662953113.182202345,0.487340198,1442
38,1662953113.248803193,0.553941046,1442
39,1662953113.262039828,0.567177681,1442
40,1662953113.274065286,0.579203139,1442
41,1662953113.302568441,0.607706294,1442
42,1662953113.318240974,0.623378827,1442
43,1662953113.331874606,0.637012459,1442
44,1662953113.349882715,0.655020568,1442
45,1662953113.364053620,0.669191473,1442
46,1662953113.378891413,0.684029266,1442
47,1662953113.392402831,0.697540684,1442
48,1662953113.406173664,0.711311517,1442
49,1662953113.421509425,0.726647278,1442
50,1662953113.435010814,0.740148667,1442
51,1662953113.446979611,0.752117464,1442
52,1662953113.459064207,0.764202060,1442
53,1662953113.471378488,0.776516341,1442
54,1662953113.485687612,0.790825465,1442
55,1662953113.498392213,0.803530066,1442
56,1662953113.510275787,0.815413640,1442
57,1662953113.522665413,0.827803266,1442
58,1662953113.534682420,0.839820273,1442
59,1662953113.546724780,0.851862633,1442
60,1662953113.560094025,0.865231878,1442
61,1662953113.573640594,0.878778447,1442
62,1662953113.585814027,0.890951880,1442
63,1662953113.598050526,0.903188379,1442
64,1662953113.610095374,0.915233227,1442
65,1662953113.623071765,0.928209618,1442
66,1662953113.635109058,0.940246911,1442
67,1662953113.646913862,0.952051715,1442
68,1662953113.661424888,0.966562741,1442
69,1662953113.673679197,0.978817050,1442
