frame.number,frame.time_epoch,frame.time_relative,frame.len
1,1661987013.027600849,0.000000000,1442
2,1661987013.030689858,0.003089009,1442
3,1661987013.034545039,0.006944190,1442
4,1661987013.036964699,0.009363850,1442
5,1661987013.039805099,0.012204250,1442
6,1661987013.044807924,0.017207075,1442
7,1661987013.050375092,0.022774243,1442
8,1661987013.052227467,0.024626618,1442
9,1661987013.056412661,0.028811812,1442
10,1661987013.060741441,0.033140592,1442
11,1661987013.064880416,0.037279567,1442
12,1661987013.068976103,0.041375254,1442
13,1661987013.072668384,0.045067535,1442
14,1661987013.075604214,0.048003365,1442
15,1661987013.078582220,0.050981371,1442
16,1661987013.081400871,0.053800022,1442
17,1661987013.083756916,0.056156067,1442
18,1661987013.086613400,0.059012551,1442
19,1661987013.089982106,0.062381257,1442
20,1661987013.092890315,0.065289466,1442
21,1661987013.095823444,0.068222595,1442
22,1661987013.098827415,0.071226566,1442
23,1661987013.101851709,0.074250860,1442
24,1661987013.104854121,0.077253272,1442
25,1661987013.107799097,0.080198248,1442
26,1661987013.113627535,0.086026686,1442
27,1661987013.116565036,0.088964187,1442
28,1661987013.121354724,0.093753875,1442
29,1661987013.125552496,0.097951647,1442
30,1661987013.127443275,0.099842426,1442
31,1661987013.130990785,0.103389936,1442
32,1661987013.134543307,0.106942458,1442
33,1661987013.139424261,0.111823412,1442
34,1661987013.141938557,0.114337708,1442
35,1661987013.146215393,0.118614544,1442
36,1661987013.149507916,0.121907067,1442
37,1661987013.153044394,0.125443545,1442
38,1661987013.156508713,0.128907864,1442
39,1661987013.159226347,0.131625498,1442
40,1661987013.164625642,0.137024793,1442
41,1661987013.166656173,0.139055324,1442
42,1661987013.170071736,0.142470887,1442
43,1661987013.173521506,0.145920657,1442
44,1661987013.178172626,0.150571777,1442
45,1661987013.181968299,0.154367450,1442
46,1661987013.185754394,0.158153545,1442
47,1661987013.188852706,0.161251857,1442
48,1661987013.192480408,0.164879559,1442
49,1661987013.196196402,0.168595553,1442
50,1661987013.200284623,0.172683774,1442
51,1661987013.203667352,0.176066503,1442
52,1661987013.207421979,0.179821130,1442
53,1661987013.210511674,0.182910825,1442
54,1661987013.213290381,0.185689532,1442
55,1661987013.216244925,0.188644076,1442
56,1661987013.219118849,0.191518000,1442
57,1661987013.222419685,0.194818836,1442
58,1661987013.225869871,0.198269022,1442
59,1661987013.229086622,0.201485773,1442
60,1661987013.232307088,0.204706239,1442
61,1661987013.235613485,0.208012636,1442
62,1661987013.238191851,0.210591002,1442
63,1661987013.240995750,0.213394901,1442
64,1661987013.243976152,0.216375303,1442
65,1661987013.247019703,0.219418854,1442
66,1661987013.250710638,0.223109789,1442
67,1661987013.254505596,0.226904747,1442
68,1661987013.257900013,0.230299164,1442
69,1661987013.261171131,0.233570282,1442
70,1661987013.265300497,0.237699648,1442
71,1661987013.268301138,0.240700289,1442
72,1661987013.273414733,0.245813884,1442
73,1661987013.275899982,0.248299133,1442
74,1661987013.280103841,0.252502992,1442
75,1661987013.282958013,0.255357164,1442
76,1661987013.285988713,0.258387864,1442
77,1661987013.289073826,0.261472977,1442
78,1661987013.292081834,0.264480985,1442
79,1661987013.295587441,0.267986592,1442
80,1661987013.298007125,0.270406276,1442
81,1661987013.301594170,0.273993321,1442
82,1661987013.304883084,0.277282235,1442
83,1661987013.307634563,0.280033714,1442
84,1661987013.310868980,0.283268131,1442
85,1661987013.313832077,0.286231228,1442
86,1661987013.316985159,0.289384310,1442
87,1661987013.320054479,0.292453630,1442
88,1661987013.322622213,0.295021364,1442
89,1661987013.325496064,0.297895215,1442
90,1661987013.328708213,0.301107364,1442
91,1661987013.331642663,0.304041814,1442
92,1661987013.334531195,0.306930346,1442
93,1661987013.337592292,0.309991443,1442
94,1661987013.340856648,0.313255799,1442
95,1661987013.343885614,0.316284765,1442
96,1661987013.346929224,0.319328375,1442
97,1661987013.349733470,0.322132621,1442
98,1661987013.357008187,0.329407338,1442
99,1661987013.357645711,0.330044862,1442
100,1661987013.359347742,0.331746893,1442
101,1661987013.362189847,0.334588998,1442
102,1661987013.365307326,0.337706477,1442
103,1661987013.368266850,0.340666001,1442
104,1661987013.371286689,0.343685840,1442
105,1661987013.374849698,0.347248849,1442
106,1661987013.377951250,0.350350401,1442
107,1661987013.384090455,0.356489606,1442
108,1661987013.385123586,0.357522737,1442
109,1661987013.387377412,0.359776563,1442
110,1661987013.390272092,0.362671243,1442
111,1661987013.393888557,0.366287708,1442
112,1661987013.396624613,0.369023764,1442
113,1661987013.400471910,0.372871061,1442
114,1661987013.402816768,0.375215919,1442
115,1661987013.405828956,0.378228107,1442
116,1661987013.409193895,0.381593046,1442
117,1661987013.413075581,0.385474732,1442
118,1661987013.416218426,0.388617577,1442
119,1661987013.419090485,0.391489636,1442
120,1661987013.421808771,0.394207922,1442
121,1661987013.425704823,0.398103974,1442
122,1661987013.428777275,0.401176426,1442
123,1661987013.431417162,0.403816313,1442
124,1661987013.434787932,0.407187083,1442
125,1661987013.437618673,0.410017824,1442
126,1661987013.440859035,0.413258186,1442
127,1661987013.443887255,0.416286406,1442
128,1661987013.446758684,0.419157835,1442
129,1661987013.449819628,0.422218779,1442
130,1661987013.452323478,0.424722629,1442
131,1661987013.458057794,0.430456945,1442
132,1661987013.459366424,0.431765575,1442
133,1661987013.461043822,0.433442973,1442
134,1661987013.463855893,0.436255044,1442
135,1661987013.466872854,0.439272005,1442
136,1661987013.469660280,0.442059431,1442
137,1661987013.472755250,0.445154401,1442
138,1661987013.475886031,0.448285182,1442
139,1661987013.478866809,0.451265960,1442
140,1661987013.481735067,0.454134218,1442
141,1661987013.486138073,0.458537224,1442
142,1661987013.487534805,0.459933956,1442
143,1661987013.490462466,0.462861617,1442
144,1661987013.493397559,0.465796710,1442
145,1661987013.496389688,0.468788839,1442
146,1661987013.500052667,0.472451818,1442
147,1661987013.503477548,0.475876699,1442
148,1661987013.505292619,0.477691770,1442
149,1661987013.508382119,0.480781270,1442
150,1661987013.511495358,0.483894509,1442
151,1661987013.514532499,0.486931650,1442
152,1661987013.517418977,0.489818128,1442
153,1661987013.520330289,0.492729440,1442
154,1661987013.523247816,0.495646967,1442
155,1661987013.526099338,0.498498489,1442
156,1661987013.529040077,0.501439228,1442
157,1661987013.531962433,0.504361584,1442
158,1661987013.534877879,0.507277030,1442
159,1661987013.537672171,0.510071322,1442
160,1661987013.540989848,0.513388999,1442
161,1661987013.543879114,0.516278265,1442
162,1661987013.546669558,0.519068709,1442
163,1661987013.549536724,0.521935875,1442
164,1661987013.552448675,0.524847826,1442
165,1661987013.555335043,0.527734194,1442
166,1661987013.559125695,0.531524846,1442
167,1661987013.562030827,0.534429978,1442
168,1661987013.565082558,0.537481709,1442
169,1661987013.568060775,0.540459926,1442
170,1661987013.570940723,0.543339874,1442
171,1661987013.573976122,0.546375273,1442
172,1661987013.576706976,0.549106127,1442
173,1661987013.579870427,0.552269578,1442
174,1661987013.582755973,0.555155124,1442
175,1661987013.585686093,0.558085244,1442
176,1661987013.588748556,0.561147707,1442
177,1661987013.592126138,0.564525289,1442
178,1661987013.595217131,0.567616282,1442
179,1661987013.598600549,0.570999700,1442
180,1661987013.601547998,0.573947149,1442
181,1661987013.604804605,0.577203756,1442
182,1661987013.608540844,0.580939995,1442
183,1661987013.610908067,0.583307218,1442
184,1661987013.614010596,0.586409747,1442
185,1661987013.616978137,0.589377288,1442
186,1661987013.620156599,0.592555750,1442
187,1661987013.623318195,0.595717346,1442
