sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse_expanded,rmse_simple,telemetry_byte_count
dynamic,2,1.0,60.0,40,0.0597442046228031,0.0034892157948105914,2055
sINT,2,1.0,60.0,64,0.09433202669038748,0.01633158318061526,2852
static,2,1.0,60.0,55,0.05860097151557977,0.0034607271445023513,3158
dynamic,2,1.0,60.0,38,0.07560550891799657,0.0031019658790614074,2022
sINT,2,1.0,60.0,64,0.10879831253209929,0.013187229191421214,2852
static,2,1.0,60.0,55,0.054637136694600706,0.0029565126359108514,3193
dynamic,2,1.0,60.0,38,0.06649805125999705,0.019251854644521532,2176
sINT,2,1.0,60.0,64,0.10499108644866767,0.013240083898874126,2852
static,2,1.0,60.0,55,0.04423559997128227,0.003288436503387141,3201
dynamic,2,1.0,60.0,39,0.06502575880624115,0.004974461121417489,2026
sINT,2,1.0,60.0,64,0.10670676517642717,0.012354603451585726,2852
static,2,1.0,60.0,55,0.05822954925130076,0.0032249540930409516,3177
dynamic,2,1.0,60.0,41,0.06986499805395054,0.0037231147212394133,2051
sINT,2,1.0,60.0,64,0.09692683275307293,0.010841900977898436,2852
static,2,1.0,60.0,55,0.047702255160381284,0.003531782411666508,3205
