rmse,byte_count,packet_count,min_telemetry_push_time,experiment_time
0.16759796783294972,490,35,2.0,100
0.19088570795955562,420,30,2.0,100
0.16548225633843694,518,37,1.5,99
0.15021253427532857,490,35,1.5,100
0.14608520860393834,532,38,1.0,100
0.13906130833141211,588,42,1.0,100
0.13940234494071388,770,55,0.5,100
0.13482894870672715,840,60,0.5,100
0.13071432244557027,1218,87,0.25,100
0.13737174729291868,1232,88,0.25,100
