sw_type,sw_id,min_telemetry_push_time,experiment_time,packet_count,rmse,telemetry_byte_count,jitter
DINT-16,2,0.5,60.0,72,0.13764123870577086,4906,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-8,2,0.5,60.0,77,0.13399677520047443,4735,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.5,60.0,80,0.15260960605177865,4735,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.5,60.0,80,0.11242095912948578,4764,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-16,2,0.5,60.0,80,0.12076271967485834,5052,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-8,2,0.5,60.0,79,0.12872497619002032,4610,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.5,60.0,78,0.12204877003531633,4656,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.5,60.0,79,0.12212419263664867,4568,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-16,2,0.5,60.0,76,0.13210591845536915,4981,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-8,2,0.5,60.0,75,0.13100175244616444,4568,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.5,60.0,78,0.12295137926281,4610,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.5,60.0,78,0.14082760330990401,4397,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-16,2,0.25,60.0,135,0.11866813143432418,8169,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-8,2,0.25,60.0,122,0.10799289673971851,7819,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.25,60.0,121,0.11342700557666549,7246,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.25,60.0,123,0.11793099051598778,7483,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-16,2,0.25,60.0,133,0.08149862424519876,8016,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-8,2,0.25,60.0,128,0.11637840705221694,7965,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-4,2,0.25,60.0,121,0.12005440312822409,7629,"{'h1': 0, 'h3': 0, 'h4': 0}"
DINT-2,2,0.25,60.0,124,0.11056097580005135,7536,"{'h1': 0, 'h3': 0, 'h4': 0}"
