switch_type,switch_id,min_telemetry_push_time,experiment_time,nrmse,tel_packet_count,practical_tel_overhead,telemetry_percentage
static,4,0.1,100.0,0.08384489660514245,4774,140702,0.0026083942011790443
LINT,4,0.1,100.0,0.10773528687919637,37454,139201,0.007407974835030882
DINT,4,0.1,100.0,0.06721173872262708,236,7226,0.00013408745931542285
static,4,0.1,100.0,0.07579262537919501,4095,135355,0.0025077722319182126
LINT,4,0.1,100.0,0.11935237436350314,37365,126718,0.007403393882695356
DINT,4,0.1,100.0,0.0763713728953878,240,8108,0.0001502510979745381
static,4,0.1,100.0,0.07773391376470094,4791,140940,0.0026128741615777354
LINT,4,0.1,100.0,0.11318300269249724,37515,140511,0.007465953525162677
DINT,4,0.1,100.0,0.07106280971361423,318,9650,0.0001794547550861011
