flow,throughput,anomalous_identification_timestamp
"('10.0.1.1', 50001, '10.0.4.4', 50001, 17)",38101793.65934439,"[(4362574, 4462816)]"
"('10.0.1.1', 50005, '10.0.4.4', 50005, 17)",35280000.0,"[(6385821, 6485821)]"
"('10.0.2.2', 50008, '10.0.4.4', 50008, 17)",26617670.554401662,"[(6411369, 6511513)]"
"('10.0.2.2', 50007, '10.0.4.4', 50007, 17)",31899584.266069714,"[(9402127, 9502191)]"
"('10.0.2.2', 50012, '10.0.4.4', 50012, 17)",22889728.533402458,"[(11407773, 11508080)]"
"('10.0.1.1', 50008, '10.0.4.4', 50008, 17)",34173239.338312276,"[(12423166, 12523455)]"
"('10.0.1.1', 50013, '10.0.4.4', 50013, 17)",34025883.17593564,"[(13422924, 13522989)]"
"('10.0.2.2', 50004, '10.0.4.4', 50004, 17)",31635891.805569418,"[(14418303, 14518493)]"
"('10.0.3.3', 50012, '10.0.4.4', 50012, 17)",26121798.06638094,"[(16391921, 16492251)]"
"('10.0.1.1', 50006, '10.0.4.4', 50006, 17)",35803480.44994106,"[(18438002, 18538104)]"
"('10.0.1.1', 50003, '10.0.4.4', 50003, 17)",25241072.586033247,"[(20468150, 20568431)]"
"('10.0.3.3', 50007, '10.0.4.4', 50007, 17)",22863230.84275928,"[(21415028, 21515460)]"
"('10.0.2.2', 50011, '10.0.4.4', 50011, 17)",29011207.970112078,"[(24483151, 24583526)]"
"('10.0.2.2', 50005, '10.0.4.4', 50005, 17)",23262501.997124143,"[(26479127, 26579271)]"
"('10.0.1.1', 50012, '10.0.4.4', 50012, 17)",25118866.062617745,"[(30473713, 30574036)]"
"('10.0.2.2', 50006, '10.0.4.4', 50006, 17)",24467076.978323974,"[(30506002, 30606251)]"
"('10.0.3.3', 50013, '10.0.4.4', 50013, 17)",37027330.21612016,"[(32474328, 32575059)]"
"('10.0.1.1', 50004, '10.0.4.4', 50004, 17)",25569501.629995916,"[(34515975, 34616282)]"
"('10.0.3.3', 50001, '10.0.4.4', 50001, 17)",21162920.898984242,"[(35489182, 35589206)]"
"('10.0.3.3', 50011, '10.0.4.4', 50011, 17)",29664574.42130092,"[(38500267, 38600319)]"
"('10.0.3.3', 50010, '10.0.4.4', 50010, 17)",27988804.478208717,"[(38540619, 38640659)]"
"('10.0.2.2', 50013, '10.0.4.4', 50013, 17)",20872199.63326158,"[(40546698, 40647042)]"
"('10.0.3.3', 50006, '10.0.4.4', 50006, 17)",27970469.424710963,"[(44521213, 44621719)]"
"('10.0.3.3', 50003, '10.0.4.4', 50003, 17)",32616955.710909218,"[(47599020, 47699293)]"
"('10.0.2.2', 50015, '10.0.4.4', 50015, 17)",38058794.2202292,"[(50597698, 50698048)]"
"('10.0.2.2', 50009, '10.0.4.4', 50009, 17)",31233008.15608508,"[(51582815, 51682863)]"
"('10.0.2.2', 50010, '10.0.4.4', 50010, 17)",34897586.21034025,"[(51582846, 51682979)]"
"('10.0.3.3', 50015, '10.0.4.4', 50015, 17)",36706634.6922462,"[(52540131, 52640211)]"
"('10.0.1.1', 50011, '10.0.4.4', 50011, 17)",25634669.97161476,"[(52569468, 52669520)]"
"('10.0.1.1', 50014, '10.0.4.4', 50014, 17)",31277427.591159336,"[(52581651, 52681915)]"
"('10.0.3.3', 50004, '10.0.4.4', 50004, 17)",20747557.44121426,"[(63564175, 63664582)]"
"('10.0.3.3', 50009, '10.0.4.4', 50009, 17)",28481391.359846823,"[(63572064, 63672340)]"
"('10.0.2.2', 50003, '10.0.4.4', 50003, 17)",29214179.350596137,"[(73564102, 73664163)]"
"('10.0.1.1', 50010, '10.0.4.4', 50010, 17)",34360978.14464309,"[(73619931, 73719998)]"
"('10.0.1.1', 50015, '10.0.4.4', 50015, 17)",19888069.751897927,"[(74601773, 74702014)]"
"('10.0.3.3', 50002, '10.0.4.4', 50002, 17)",31690612.595858704,"[(79514522, 79614539)]"
"('10.0.2.2', 50002, '10.0.4.4', 50002, 17)",34383312.333753325,"[(84631931, 84731933)]"
"('10.0.1.1', 50009, '10.0.4.4', 50009, 17)",27485286.783042394,"[(85682333, 85782583)]"
"('10.0.3.3', 50008, '10.0.4.4', 50008, 17)",27218581.30316129,"[(89627561, 89727963)]"
"('10.0.1.1', 50007, '10.0.4.4', 50007, 17)",23575183.80702507,"[(89687365, 89787606)]"
"('10.0.3.3', 50014, '10.0.4.4', 50014, 17)",38739990.6029131,"[(92624932, 92724963)]"
"('10.0.2.2', 50014, '10.0.4.4', 50014, 17)",29448932.2562585,"[(96664685, 96764709)]"
"('10.0.2.2', 50001, '10.0.4.4', 50001, 17)",29367603.51342459,"[(100621059, 100721360)]"
