flow,throughput,anomalous_identification_timestamp
"('10.0.1.1', 50001, '10.0.4.4', 50001, 17)",38977472.40144799,"[(4476381, 4576658)]"
"('10.0.1.1', 50005, '10.0.4.4', 50005, 17)",36335207.58221894,"[(6496500, 6596629)]"
"('10.0.2.2', 50008, '10.0.4.4', 50008, 17)",26893157.910510387,"[(6533444, 6633545)]"
"('10.0.2.2', 50007, '10.0.4.4', 50007, 17)",31970257.548046652,"[(9522039, 9622098)]"
"('10.0.2.2', 50012, '10.0.4.4', 50012, 17)",22965626.98917887,"[(11527452, 11627996)]"
"('10.0.1.1', 50008, '10.0.4.4', 50008, 17)",34338088.78616402,"[(12529081, 12629457)]"
"('10.0.1.1', 50013, '10.0.4.4', 50013, 17)",33781563.34662948,"[(13528171, 13628200)]"
"('10.0.2.2', 50004, '10.0.4.4', 50004, 17)",32156197.282917917,"[(14536498, 14636679)]"
"('10.0.3.3', 50012, '10.0.4.4', 50012, 17)",26503419.80896927,"[(16536497, 16636795)]"
"('10.0.1.1', 50006, '10.0.4.4', 50006, 17)",36448066.474912114,"[(18539039, 18639167)]"
"('10.0.1.1', 50003, '10.0.4.4', 50003, 17)",25412037.175686065,"[(20565432, 20665605)]"
"('10.0.3.3', 50007, '10.0.4.4', 50007, 17)",23165902.8963369,"[(21551829, 21651990)]"
"('10.0.2.2', 50011, '10.0.4.4', 50011, 17)",29457721.52404148,"[(24556171, 24656352)]"
"('10.0.2.2', 50005, '10.0.4.4', 50005, 17)",23556352.19374241,"[(26548544, 26648966)]"
"('10.0.1.1', 50012, '10.0.4.4', 50012, 17)",25343239.702808917,"[(30546659, 30646662)]"
"('10.0.2.2', 50006, '10.0.4.4', 50006, 17)",24816365.59397057,"[(30569997, 30670305)]"
"('10.0.3.3', 50013, '10.0.4.4', 50013, 17)",37266802.606852986,"[(32580881, 32680925)]"
"('10.0.1.1', 50004, '10.0.4.4', 50004, 17)",25621326.096933175,"[(34585357, 34685591)]"
"('10.0.3.3', 50001, '10.0.4.4', 50001, 17)",21368053.198074963,"[(35590455, 35690609)]"
"('10.0.3.3', 50005, '10.0.4.4', 50005, 17)",20064406.982067153,"[(37581850, 37682336)]"
"('10.0.3.3', 50010, '10.0.4.4', 50010, 17)",27640803.623087205,"[(38645350, 38745596)]"
"('10.0.2.2', 50013, '10.0.4.4', 50013, 17)",20964298.155686714,"[(40605711, 40706182)]"
"('10.0.3.3', 50006, '10.0.4.4', 50006, 17)",28359966.828858893,"[(44627375, 44727462)]"
"('10.0.3.3', 50003, '10.0.4.4', 50003, 17)",32650593.73875495,"[(47702473, 47802517)]"
"('10.0.2.2', 50015, '10.0.4.4', 50015, 17)",38765246.88279302,"[(50648689, 50748939)]"
"('10.0.2.2', 50010, '10.0.4.4', 50010, 17)",36478304.762856714,"[(51630924, 51730969)]"
"('10.0.2.2', 50009, '10.0.4.4', 50009, 17)",32510056.925996207,"[(51630914, 51731044)]"
"('10.0.1.1', 50011, '10.0.4.4', 50011, 17)",25994764.920974284,"[(52627273, 52727367)]"
"('10.0.1.1', 50014, '10.0.4.4', 50014, 17)",31651161.863764998,"[(52639270, 52739626)]"
"('10.0.3.3', 50004, '10.0.4.4', 50004, 17)",20678799.489144318,"[(63653180, 63753404)]"
"('10.0.3.3', 50009, '10.0.4.4', 50009, 17)",28368469.972115897,"[(63661039, 63761096)]"
"('10.0.1.1', 50002, '10.0.4.4', 50002, 17)",20430376.719154872,"[(69652401, 69752741)]"
"('10.0.1.1', 50010, '10.0.4.4', 50010, 17)",34841109.558970265,"[(73673246, 73773466)]"
"('10.0.1.1', 50015, '10.0.4.4', 50015, 17)",19968407.947811365,"[(74653772, 74754177)]"
"('10.0.3.3', 50002, '10.0.4.4', 50002, 17)",31925269.461077847,"[(79607669, 79707869)]"
"('10.0.1.1', 50009, '10.0.4.4', 50009, 17)",27609131.036956586,"[(85728465, 85828826)]"
"('10.0.1.1', 50007, '10.0.4.4', 50007, 17)",23911814.539438274,"[(89732434, 89832768)]"
"('10.0.3.3', 50014, '10.0.4.4', 50014, 17)",38740065.7960323,"[(92715032, 92815342)]"
"('10.0.2.2', 50014, '10.0.4.4', 50014, 17)",29590243.02538132,"[(96712542, 96812655)]"
"('10.0.2.2', 50001, '10.0.4.4', 50001, 17)",29672524.07324253,"[(100670592, 100770807)]"
