src_ip,src_port,dest_ip,dest_port,dest_src_pkts,dest_src_bytes,src_dest_pkts,src_dest_bytes,total_pkts,total_bytes,relative_time,total_time
10.0.3.3,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.000000000,100.5439
10.0.2.2,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.028829081,100.5482
10.0.1.1,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.029649734,100.5362
10.0.3.3,50014,10.0.4.4,50014,0,0,356,498400,356,498400,89.300003268,0.1028
10.0.1.1,50001,10.0.4.4,50001,0,0,351,491400,351,491400,1.037578007,0.1031
10.0.2.2,50015,10.0.4.4,50015,0,0,348,487200,348,487200,47.272757484,0.1023
10.0.3.3,50013,10.0.4.4,50013,0,0,337,471800,337,471800,29.149409661,0.1014
10.0.3.3,50015,10.0.4.4,50015,0,0,337,471800,337,471800,49.215121629,0.1095
10.0.2.2,50010,10.0.4.4,50010,0,0,336,470400,336,470400,48.257924856,0.1075
10.0.1.1,50006,10.0.4.4,50006,0,0,330,462000,330,462000,15.113010611,0.1032
10.0.1.1,50005,10.0.4.4,50005,0,0,329,460600,329,460600,3.060826158,0.1044
10.0.1.1,50010,10.0.4.4,50010,0,0,314,439600,314,439600,70.294982520,0.1022
10.0.2.2,50002,10.0.4.4,50002,0,0,314,439600,314,439600,81.306996200,0.1023
10.0.1.1,50008,10.0.4.4,50008,0,0,311,435400,311,435400,9.098137375,0.1019
10.0.1.1,50013,10.0.4.4,50013,0,0,310,434000,310,434000,10.097926875,0.1020
10.0.2.2,50009,10.0.4.4,50009,0,0,300,420000,300,420000,48.257909113,0.1074
10.0.3.3,50003,10.0.4.4,50003,0,0,296,414400,296,414400,44.274126166,0.1016
10.0.2.2,50007,10.0.4.4,50007,0,0,291,407400,291,407400,6.077170299,0.1020
10.0.3.3,50002,10.0.4.4,50002,0,0,290,406000,290,406000,76.189530411,0.1023
10.0.2.2,50004,10.0.4.4,50004,0,0,289,404600,289,404600,11.093303371,0.1042
10.0.1.1,50014,10.0.4.4,50014,0,0,288,403200,288,403200,49.256661870,0.1031
10.0.2.2,50014,10.0.4.4,50014,0,0,269,376600,269,376600,93.339640314,0.1023
10.0.3.3,50011,10.0.4.4,50011,0,0,268,375200,268,375200,35.175320725,0.1011
10.0.2.2,50001,10.0.4.4,50001,0,0,267,373800,267,373800,97.296018410,0.1019
10.0.2.2,50011,10.0.4.4,50011,0,0,266,372400,266,372400,21.158259852,0.1025
10.0.2.2,50003,10.0.4.4,50003,0,0,265,371000,265,371000,70.239037002,0.1018
10.0.3.3,50009,10.0.4.4,50009,0,0,259,362600,259,362600,60.247088341,0.1018
10.0.3.3,50006,10.0.4.4,50006,0,0,256,358400,256,358400,41.196645989,0.1016
10.0.3.3,50010,10.0.4.4,50010,0,0,253,354200,253,354200,35.215579199,0.1012
10.0.1.1,50009,10.0.4.4,50009,0,0,250,350000,250,350000,82.357408848,0.1018
10.0.3.3,50008,10.0.4.4,50008,0,0,245,343000,245,343000,86.302570644,0.1009
10.0.2.2,50008,10.0.4.4,50008,0,0,241,337400,241,337400,3.086358047,0.1014
10.0.3.3,50012,10.0.4.4,50012,0,0,241,337400,241,337400,13.066860234,0.1033
10.0.1.1,50011,10.0.4.4,50011,0,0,235,329000,235,329000,49.244419082,0.1026
10.0.1.1,50004,10.0.4.4,50004,0,0,231,323400,231,323400,31.190975825,0.1011
10.0.1.1,50003,10.0.4.4,50003,0,0,230,322000,230,322000,17.143219477,0.1020
10.0.1.1,50012,10.0.4.4,50012,0,0,228,319200,228,319200,27.148718994,0.1016
10.0.2.2,50006,10.0.4.4,50006,0,0,222,310800,222,310800,27.180992696,0.1016
10.0.1.1,50007,10.0.4.4,50007,0,0,214,299600,214,299600,86.362372976,0.1016
10.0.2.2,50005,10.0.4.4,50005,0,0,210,294000,210,294000,23.154145056,0.1011
10.0.3.3,50007,10.0.4.4,50007,0,0,208,291200,208,291200,18.090066290,0.1019
10.0.2.2,50012,10.0.4.4,50012,0,0,207,289800,207,289800,8.082735151,0.1013
10.0.3.3,50001,10.0.4.4,50001,0,0,191,267400,191,267400,32.164413882,0.0999
10.0.3.3,50004,10.0.4.4,50004,0,0,188,263200,188,263200,60.239150357,0.1014
10.0.2.2,50013,10.0.4.4,50013,0,0,187,261800,187,261800,37.221733512,0.1003
10.0.1.1,50002,10.0.4.4,50002,0,0,182,254800,182,254800,66.274569351,0.0999
10.0.3.3,50005,10.0.4.4,50005,0,0,179,250600,179,250600,34.153301331,0.0997
10.0.1.1,50015,10.0.4.4,50015,0,0,179,250600,179,250600,71.276709760,0.1007

