src_ip,src_port,dest_ip,dest_port,dest_src_pkts,dest_src_bytes,src_dest_pkts,src_dest_bytes,total_pkts,total_bytes,relative_time,total_time
10.0.1.1,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.000000000,100.4679
10.0.3.3,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.008452067,100.4717
10.0.2.2,50000,10.0.4.4,50000,0,0,8928,12499200,8928,12499200,0.009583239,100.4705
10.0.3.3,50014,10.0.4.4,50014,0,0,356,498400,356,498400,89.245445489,0.1033
10.0.1.1,50001,10.0.4.4,50001,0,0,351,491400,351,491400,1.006759820,0.1014
10.0.2.2,50015,10.0.4.4,50015,0,0,348,487200,348,487200,47.179270834,0.1009
10.0.2.2,50010,10.0.4.4,50010,0,0,338,473200,338,473200,48.161299168,0.1043
10.0.3.3,50013,10.0.4.4,50013,0,0,337,471800,337,471800,29.111329021,0.1016
10.0.3.3,50015,10.0.4.4,50015,0,0,337,471800,337,471800,49.166906630,0.1021
10.0.1.1,50006,10.0.4.4,50006,0,0,330,462000,330,462000,15.069380895,0.1020
10.0.1.1,50005,10.0.4.4,50005,0,0,329,460600,329,460600,3.026994454,0.1018
10.0.1.1,50010,10.0.4.4,50010,0,0,314,439600,314,439600,70.203681529,0.1014
10.0.2.2,50002,10.0.4.4,50002,0,0,314,439600,314,439600,81.209398041,0.1028
10.0.1.1,50008,10.0.4.4,50008,0,0,311,435400,311,435400,9.059437757,0.1020
10.0.1.1,50013,10.0.4.4,50013,0,0,310,434000,310,434000,10.058535821,0.1033
10.0.2.2,50009,10.0.4.4,50009,0,0,301,421400,301,421400,48.161276528,0.1041
10.0.3.3,50003,10.0.4.4,50003,0,0,296,414400,296,414400,44.232816743,0.1021
10.0.2.2,50007,10.0.4.4,50007,0,0,291,407400,291,407400,6.052463190,0.1024
10.0.3.3,50002,10.0.4.4,50002,0,0,290,406000,290,406000,76.138013274,0.1022
10.0.2.2,50004,10.0.4.4,50004,0,0,289,404600,289,404600,11.066849122,0.1012
10.0.1.1,50014,10.0.4.4,50014,0,0,288,403200,288,403200,49.169595162,0.1024
10.0.2.2,50014,10.0.4.4,50014,0,0,269,376600,269,376600,93.243067647,0.1022
10.0.3.3,50011,10.0.4.4,50011,0,0,268,375200,268,375200,35.134802735,0.1028
10.0.2.2,50001,10.0.4.4,50001,0,0,267,373800,267,373800,97.201009805,0.1013
10.0.2.2,50011,10.0.4.4,50011,0,0,266,372400,266,372400,21.086498937,0.1017
10.0.2.2,50003,10.0.4.4,50003,0,0,265,371000,265,371000,70.141385651,0.1026
10.0.3.3,50009,10.0.4.4,50009,0,0,259,362600,259,362600,60.191381582,0.1029
10.0.3.3,50006,10.0.4.4,50006,0,0,256,358400,256,358400,41.157701448,0.1016
10.0.3.3,50010,10.0.4.4,50010,0,0,253,354200,253,354200,35.175702289,0.1028
10.0.1.1,50009,10.0.4.4,50009,0,0,250,350000,250,350000,82.258884794,0.1019
10.0.3.3,50008,10.0.4.4,50008,0,0,245,343000,245,343000,86.247009461,0.1021
10.0.2.2,50008,10.0.4.4,50008,0,0,241,337400,241,337400,3.063844069,0.1009
10.0.3.3,50012,10.0.4.4,50012,0,0,241,337400,241,337400,13.066835532,0.1024
10.0.1.1,50011,10.0.4.4,50011,0,0,235,329000,235,329000,49.157608426,0.1019
10.0.1.1,50004,10.0.4.4,50004,0,0,231,323400,231,323400,31.115723425,0.1015
10.0.1.1,50003,10.0.4.4,50003,0,0,230,322000,230,322000,17.095819881,0.1019
10.0.1.1,50012,10.0.4.4,50012,0,0,228,319200,228,319200,27.077009594,0.1014
10.0.2.2,50006,10.0.4.4,50006,0,0,222,310800,222,310800,27.100345904,0.1007
10.0.1.1,50007,10.0.4.4,50007,0,0,214,299600,214,299600,86.262825573,0.1008
10.0.2.2,50005,10.0.4.4,50005,0,0,210,294000,210,294000,23.078886578,0.1004
10.0.3.3,50007,10.0.4.4,50007,0,0,208,291200,208,291200,18.082218655,0.1010
10.0.2.2,50012,10.0.4.4,50012,0,0,207,289800,207,289800,8.057818101,0.1014
10.0.3.3,50001,10.0.4.4,50001,0,0,191,267400,191,267400,32.120782888,0.1006
10.0.3.3,50004,10.0.4.4,50004,0,0,188,263200,188,263200,60.183608426,0.1024
10.0.2.2,50013,10.0.4.4,50013,0,0,187,261800,187,261800,37.136058105,0.1006
10.0.1.1,50002,10.0.4.4,50002,0,0,182,254800,182,254800,66.182730751,0.1004
10.0.3.3,50005,10.0.4.4,50005,0,0,179,250600,179,250600,34.112224238,0.1005
10.0.1.1,50015,10.0.4.4,50015,0,0,179,250600,179,250600,71.184143576,0.1009

